Array Size,Execution Time (ms)
10,0
100,0
1000,1
10000,1
100000,6
1000000,237
10,0
100,0
1000,0
10000,0
100000,6
1000000,238
10,0
100,0
1000,0
10000,1
100000,6
1000000,238
10,0
100,0
1000,0
10000,1
100000,7
1000000,239
10,0
100,0
1000,0
10000,0
100000,7
1000000,239
10,0
100,0
1000,0
10000,0
100000,7
1000000,237
10,0
100,0
1000,1
10000,1
100000,7
1000000,239
10,0
100,0
1000,0
10000,0
100000,6
1000000,242
10,0
100,0
1000,0
10000,0
100000,7
1000000,256
