Array Size,Execution Time (ms)
10,1
100,0
1000,2
10000,1
100000,12
1000000,122
10,0
100,0
1000,1
10000,1
100000,12
1000000,104
10,0
100,0
1000,0
10000,1
100000,9
1000000,108
10,0
100,0
1000,0
10000,1
100000,10
1000000,103
10,0
100,0
1000,0
10000,1
100000,10
1000000,103
10,0
100,0
1000,0
10000,1
100000,9
1000000,105
10,0
100,0
1000,0
10000,1
100000,9
1000000,104
10,0
100,0
1000,0
10000,1
100000,11
1000000,105
10,0
100,0
1000,0
10000,1
100000,10
1000000,104
